#Clutter

// ------------------------------------------------
// Kava New - Goober
// ------------------------------------------------


//$Class Name:           "Mesh Test"
//$V3D Filename:         "meshtest.v3d"
//$Material:             "rock"
//$Life:                 -1
//$Flags:                ("collide_object")
//$RFE Level1:	       "Kava"

$V3D Filename:         "ShopLight01_Warm.v3d"
$Debris Filename:      "genericlight01_debris.V3D"
$Debris Sound Set:     "small debris bounce"
$Material:             "metal"
$Life:                 160
$Explode Anim:         "yellboom"
$Explode Anim Radius:  .6
$Glare:					  "ShopLight01_WARM_WIDE"
$Flags:                ("collide_weapon")
$RFE Level1:	        "Lights"

$Class Name:           "Shoplight01_BIG"
$V3D Filename:         "Shoplight01_BIG.V3D"
$Debris Filename:      "LightFix_OffLge01_Debris.V3D"
$Debris Sound Set:     "small debris bounce"
$Material:             "metal"
$Life:                 160
$Explode Anim:         "yellboom"
$Explode Anim Radius:  .9
$Glare:					  "Shoplight01_Glare01"
$Flags:                ("collide_weapon")
$RFE Level1:	        "Lights"

$Class Name:           "TramLights01"
$V3D Filename:         "TramLights01.V3D"
$Material:             "metal"
$Life:                 -1
$Glare:					  "TramLights01"
$Flags:                ()
$RFE Level1:	        "Lights"
// $Skin:                 "Blue"      ("LightFix04_Amber_P01.tga")

$Class Name:           "glare_center"
$V3D Filename:         "glare_center.V3D"
$Material:             "metal"
$Life:                 -1
$Glare:					  "glare_center"
$Flags:                ()
$RFE Level1:	        "Lights"

$Class Name:           "TramLights01_Lights"
$V3D Filename:         "TramLights01_Lights.V3D"
$Material:             "metal"
$Life:                 -1
$Glare:					  "TramLights01"
$Flags:                ()
$RFE Level1:	        "Lights"

$Class Name:           "TramLights01_Express"
$V3D Filename:         "TramLights01_Express.V3D"
$Material:             "metal"
$Life:                 -1
$Flags:                ()
$RFE Level1:	        "Lights"

$Class Name:           "Floor Lamp"
$V3D Filename:         "officelamp.V3D"
$Debris Filename:      "genericlight01_debris.V3D"
$Debris Sound Set:     "small debris bounce"
$Material:             "metal"
$Life:                 120
$Explode Anim:         "yellboom"
$Explode Anim Radius:  .4
$Glare:					  "CoolWedge02_LG_NoVolume"
$Flags:                ("collide_weapon")
$RFE Level1:	        "Lights"
$Light Type:           "Tube"
$Light Range:          .25
$Light Algo:           "linear"
$Light Color:          {232,252,255,255} 
$Light On Intensity:   1.00
$Light Dynamic:        false
$Light Shadow:         true
$Light Runtime Shadow: false
$Light Offset:         0.0

$Class Name:           "volumelight10X10_01"
$V3D Filename:         "volumelight10X10_01.v3d"
$Material:             ""
$Life:                 -1
$Flags:                ()
$RFE Level1:	        "Lights"

$Class Name:           "volumelight10X37_01"
$V3D Filename:         "volumelight10X37_01.v3d"
$Material:             ""
$Life:                 -1
$Flags:                ()
$RFE Level1:	        "Lights"

$Class Name:           "volumeplane01_BIIG"
$V3D Filename:         "volumeplane01_BIIG.V3D"
$Material:             ""
$Life:                 -1
$Flags:                ()
$RFE Level1:	        "Lights"

volumeplane01_BIIG.V3D
//Goober note: not sure why this V3D filename is here, I commented it.
//No guarantees it didn't break something, but it seemed fine to me.


// ------------------------------------------------
// Computers
// ------------------------------------------------

$Class Name:           "big_meddesk"
$V3D Filename:         "big_meddesk.V3D"
$Debris Filename:      "genericlight01_debris.V3D"
$Debris Sound Set:     "small debris bounce"
$Corpse Class Name:    "meddesk_Corpse"
$Material:             "metal"
$Life:                 300
$Explode Anim:         "objectboom"
$Explode Anim Radius:  2.0
$Glare:					  "RedMini01_NoVolume"
$Flags:                ("collide_object")
$Debris Velocity:      8
$RFE Level1:           "Computers"

$Class Name:           "meddesk_corpse"
$V3D Filename:         "meddesk_corpse.V3D"
$Material:             "metal"
$Life:                 -1
$Flags:                ("collide_object")
$RFE Level1:           "Computers"

$Class Name:           "cable"
$V3D Filename:         "cables.v3d"
$Material:             "metal"
$Life:                 -1
$Flags:                ("has_alpha")
$RFE Level1:           "Computers"
    
$Class Name:           "robotic_arm_corpse"
$V3D Filename:         "robotic_arm_corpse.V3D"
$Material:             "metal"
$Life:                 -1
$Flags:                ("collide_object")
$RFE Level1:           "Computers"

$Class Name:           "robot_arm"
$V3D Filename:         "roboticarm.V3D"
$Corpse Class Name:    "robotic_arm_corpse"
$Material:             "metal"
$Life:                 90
$Explode Anim:         "objectboom"
$Explode Anim Radius:  2.0
$Glare:					  "RedMini01_NoVolume"
$Flags:                ("collide_object")
$RFE Level1:           "Computers"

$Class Name:           "catscan"
$V3D Filename:         "catscanner01.V3D"
$Material:             "metal"
$Life:                 -1
$Explode Anim:         "objectboom"
$Explode Anim Radius:  2.0
$Glare:					  "RedMini01_NoVolume"
$Flags:                ("collide_object")
$RFE Level1:           "Computers"

$Class Name:           "Com_Scom01"
$V3D Filename:         "Com_Scom01.V3D"
$Debris Filename:		  "genericlight01_debris.V3D"
$Debris Sound Set:	  "large debris bounce"
$Corpse Class Name:    "Com_Scom01_Corpse"
$Material:             "metal"
$Life:                 400
$Explode Anim:         "objectboom"
$Explode Anim Radius:  3.0
$Glare:					  "RedMini01_NoVolume"
$Flags:                ("collide_object")
$Debris Velocity:	  	  8
$RFE Level1:           "Computers"

$Class Name:           "Com_Scom01_Corpse"
$V3D Filename:         "Com_Scom01_Corpse.V3D"
$Material:             "metal"
$Life:                 -1
$Flags:                ("collide_object")
$RFE Level1:           "Computers"

$Class Name:           "Com_Scom_Memory01"
$V3D Filename:         "Com_Scom_Memory01.V3D"
$Debris Filename:		  "genericlight01_debris.V3D"
$Debris Sound Set:	  "large debris bounce"
$Corpse Class Name:    "Com_Scom_Mem01_Corpse"
$Material:             "metal"
$Life:                 180
$Explode Anim:         "objectboom"
$Explode Anim Radius:  2.7
$Glare:					  "RedMini01_NoVolume"
$Flags:                ("collide_object")
$Debris Velocity:	  	  5
$RFE Level1:           "Computers"

$Class Name:           "Com_Scom_Mem01_Corpse"
$V3D Filename:         "Com_Scom_Mem01_Corpse.V3D"
$Material:             "metal"
$Life:                 -1
$Flags:                ("collide_object")
$RFE Level1:           "Computers"

$Class Name:           "Com_CtrlPanel01"
$V3D Filename:         "Com_CtrlPanel01.V3D"
$Debris Filename:		  "genericlight01_debris.V3D"
$Debris Sound Set:	  "large debris bounce"
$Corpse Class Name:    "Com_CtrlPanel01_Corpse"
$Material:             "metal"
$Life:                 290
$Explode Anim:         "objectboom"
$Explode Anim Radius:  2.0
$Glare:					  "RedMini01_NoVolume"
$Flags:                ("collide_object")
$Debris Velocity:	  	  4
$RFE Level1:           "Computers"

$Class Name:           "Com_CtrlPanel01_Corpse"
$V3D Filename:         "Com_CtrlPanel01_Corpse.V3D"
$Material:             "metal"
$Life:                 -1
$Flags:                ("collide_object")
$RFE Level1:           "Computers"										

$Class Name:           "clean_comp"
$V3D Filename:         "clean_comp.v3d"
$Debris Filename:			"genericlight01_debris.V3D"
$Debris Sound Set:		"large debris bounce"
$Corpse Class Name:    "cleancomp_corpse"
$Material:             "metal"
$Life:                 120
$Explode Anim:         "objectboom"
$Explode Anim Radius:  1.2
$Glare:					  "RedMini01_NoVolume"
$Flags:                ("collide_object")
$Debris Velocity:	  	  6
$RFE Level1:           "Computers"

$Class Name:           "cleancomp_corpse"
$V3D Filename:         "cleancomp_corpse.v3d"
$Material:             "metal"
$Life:                 -1
$Explode Anim:         "objectboom"
$Explode Anim Radius:  2.0
$Glare:					  "RedMini01_NoVolume"
$Flags:                ("collide_object")
$RFE Level1:           "Computers"

$Class Name:           "clean_comp2"
$V3D Filename:         "cleancomp1.v3d"
$Corpse Class Name:    "cleancomp_corpse"
$Material:             "metal"
$Life:                 10
$Flags:                ("collide_object")
$RFE Level1:           "Computers"

$Class Name:           "CentralComp_Slave01"
$V3D Filename:         "CentralComp_Slave01.v3d"
$Debris Filename:		  "genericlight01_debris.V3D"
$Debris Sound Set:	  "large debris bounce"
$Corpse Class Name:    "CentralComp_Slave01_corpse"
$Material:             "metal"
$Life:                 300
$Explode Anim:         "objectboom"
$Explode Anim Radius:  2.0
$Glare:					  "RedMini01_NoVolume"
$Flags:                ("collide_object")
$Debris Velocity:	  	  4
$RFE Level1:           "Computers"

$Class Name:           "CentralComp_Slave01_corpse"
$V3D Filename:         "CentralComp_Slave01_dbris.v3d"
$Material:             "metal"
$Life:                 -1
$Flags:                ("collide_object")
$RFE Level1:           "Computers"

$Class Name:           "Wall_Computer01"
$V3D Filename:         "Wall_Computer01.v3d"
$Debris Filename:      "genericlight01_debris.V3D"
$Debris Sound Set:     "large debris bounce"
$Corpse Class Name:    "Wall_Computer01_corpse"
$Material:             "metal"
$Life:                 300
$Explode Anim:         "objectboom"
$Explode Anim Radius:  2.0
$Glare:					  "RedMini01_NoVolume"
$Flags:                ("collide_object")
$Debris Velocity:	  	  4
$RFE Level1:           "Computers"

$Class Name:           "Wall_Computer02"
$V3D Filename:         "wallcomputer1.v3d"
$Debris Filename:      "genericlight01_debris.V3D"
$Debris Sound Set:     "large debris bounce"
$Material:             "metal"
$Life:                 160
$Explode Anim:         "objectboom"
$Explode Anim Radius:  2.0
$Glare:					  "RedMini01_NoVolume"
$Flags:                ("collide_object")
$Debris Velocity:	  	  4
$RFE Level1:           "Computers"

$Class Name:           "Satellite Computer1"
$V3D Filename:         "satcomputer1.v3d"
$Material:             "metal"
$Life:                 -1
$Explode Anim:         "objectboom"
$Explode Anim Radius:  2.0
$Glare:					  "RedMini01_NoVolume"
$Flags:                ("collide_object")
$RFE Level1:           "Computers"

$Class Name:           "Satellite Computer2"
$V3D Filename:         "satcomputer2.v3d"
$Material:             "metal"
$Life:                 -1
$Explode Anim:         "objectboom"
$Explode Anim Radius:  2.0
$Glare:					  "RedMini01_NoVolume"
$Flags:                ("collide_object")
$RFE Level1:           "Computers"

$Class Name:           "Satellite Computer3"
$V3D Filename:         "satcomputer3.v3d"
$Material:             "metal"
$Life:                 -1
$Explode Anim:         "objectboom"
$Explode Anim Radius:  2.0
$Glare:					  "RedMini01_NoVolume"
$Flags:                ("collide_object")
$RFE Level1:           "Computers"

$Class Name:           "Missile Console1"
$V3D Filename:         "missileconsole1.v3d"
$Corpse Class Name:    "missile1_corpse"
$Material:             "metal"
$Life:                 -1
$Explode Anim:         "objectboom"
$Explode Anim Radius:  2.0
$Glare:					  "RedMini01_NoVolume"
$Flags:                ("collide_object")
$RFE Level1:           "Computers"

$Class Name:           "Missile Console2"
$V3D Filename:         "missileconsole2.v3d"
$Corpse Class Name:    "missile2_corpse"
$Material:             "metal"
$Life:                 -1
$Explode Anim:         "objectboom"
$Explode Anim Radius:  2.0
$Glare:					  "RedMini01_NoVolume"
$Flags:                ("collide_object")
$RFE Level1:           "Computers"

$Class Name:           "Missile Console3"
$V3D Filename:         "missileconsole3.v3d"
$Corpse Class Name:    "missile3_corpse"
$Material:             "metal"
$Life:                 -1
$Explode Anim:         "objectboom"
$Explode Anim Radius:  2.0
$Glare:					  "RedMini01_NoVolume"
$Flags:                ("collide_object")
$RFE Level1:           "Computers"

$Class Name:           "missile1_corpse"
$V3D Filename:         "missile1_corpse.v3d"
$Material:             "metal"
$Life:                 -1
$Explode Anim:         "objectboom"
$Explode Anim Radius:  2.0
$Glare:					  "RedMini01_NoVolume"
$Flags:                ("collide_object")
$RFE Level1:           "Computers"

$Class Name:           "missile2_corpse"
$V3D Filename:         "missile2_corpse.v3d"
$Material:             "metal"
$Life:                 -1
$Explode Anim:         "objectboom"
$Explode Anim Radius:  2.0
$Glare:					  "RedMini01_NoVolume"
$Flags:                ("collide_object")
$RFE Level1:           "Computers"

$Class Name:           "missile3_corpse"
$V3D Filename:         "missile3_corpse.v3d"
$Material:             "metal"
$Life:                 -1
$Explode Anim:         "objectboom"
$Explode Anim Radius:  2.0
$Glare:					  "RedMini01_NoVolume"
$Flags:                ("collide_object")
$RFE Level1:           "Computers"

$Class Name:           "DesktopPC_Monitor"
$V3D Filename:         "desktopPC_mon.v3d"
$Debris Filename:      "genericlight01_debris.V3D"
$Debris Sound Set:     "small debris bounce"
$Material:             "glass"
$Life:                 80
$Explode Anim:         "yellboom"
$Explode Anim Radius:  .5
$Glare:					  "RedMini01_NoVolume"
$Flags:                ("collide_object")
$Debris Velocity:      2
$RFE Level1:           "Computers"

$Class Name:           "DesktopPC_CPU"
$V3D Filename:         "desktopPC_CPU.v3d"
$Debris Filename:      "genericlight01_debris.V3D"
$Debris Sound Set:     "small debris bounce"
$Material:             "metal"
$Life:                 80
$Explode Anim:         "yellboom_metal"
$Explode Anim Radius:  .5
$Glare:					  "RedMini01_NoVolume"
$Flags:                ("collide_object")
$Debris Velocity:      2
$RFE Level1:           "Computers"

$Class Name:           "DesktopPC_Keyboard"
$V3D Filename:         "desktopPC_key.v3d"
$Debris Filename:      "genericlight01_debris.V3D"
$Debris Sound Set:     "small debris bounce"
$Material:             "metal"
$Life:                 80
$Explode Anim:         "yellboom_metal"
$Explode Anim Radius:  .4
$Glare:					  "RedMini01_NoVolume"
$Flags:                ("collide_object")
$Debris Velocity:      2
$RFE Level1:           "Computers"

$Class Name:           "Standalone Console1"
$V3D Filename:         "standalone1.v3d"
$Material:             "metal"
$Life:                 90
$Explode Anim:         "objectboom"
$Explode Anim Radius:  2.0
$Glare:					  "RedMini01_NoVolume"
$Flags:                ("collide_object")
$RFE Level1:           "Computers"

$Class Name:           "Standalone Console2"
$V3D Filename:         "standalone2.v3d"
$Material:             "metal"
$Life:                 90
$Explode Anim:         "objectboom"
$Explode Anim Radius:  2.0
$Glare:					  "RedMini01_NoVolume"
$Flags:                ("collide_object")
$RFE Level1:           "Computers"

$Class Name:           "Wall_Computer01_corpse"
$V3D Filename:         "Wall_Computer01_dbris.v3d"
$Material:             "metal"
$Life:                 -1
$Flags:                ("collide_object")
$RFE Level1:           "Computers"

$Class Name:           "TechTube01"
$V3D Filename:         "TechTube01.v3d"
$Corpse Class Name:    "TechTube01_corpse"
$Material:             "metal"
$Life:                 400
$Explode Anim:         "objectboom"
$Explode Anim Radius:  2.0
$Glare:					  "RedMini01_NoVolume"
$Flags:                ("collide_object")
$RFE Level1:           "Computers"

$Class Name:           "TechTube01_corpse"
$V3D Filename:         "TechTube01_dbris.v3d"
$Material:             "metal"
$Life:                 -1
$Flags:                ("collide_object")
$RFE Level1:           "Computers"

// ------------------------------------------------
// Consoles
// ------------------------------------------------

$Class Name:           "Blulitetechno"
$V3D Filename:         "blulitetechno.v3d"
$Debris Filename:		  "genericlight01_debris.V3D"
$Debris Sound Set:	  "large debris bounce"
$Corpse Class Name:    "Blulitetechno_Corpse"
$Material:             "metal"
$Life:                 120
$Explode Anim:			  "yellboom_metal"
$Explode Anim Radius:  .5
$Glare:					  "RedMini01_NoVolume"
$Flags:                ("collide_object")
$Debris Velocity:      2
$RFE Level1:           "Consoles"

$Class Name:           "Blulitetechno_Corpse"
$V3D Filename:         "blulitetechno_corpse.V3D"
$Material:             "metal"
$Life:                 -1
$Flags:                ("collide_object")
$RFE Level1:           "Consoles"

$Class Name:           "Console_large01"
$V3D Filename:         "Console_Large01.v3d"
$Debris Filename:      "genericlight01_debris.V3D"
$Debris Sound Set:     "large debris bounce"
$Corpse Class Name:    "Console_Large01_Corpse"
$Material:             "metal"
$Life:                 250
$Explode Anim:         "objectboom"
$Explode Anim Radius:  1.2
$Glare:					  "RedMini01_NoVolume"
$Flags:                ("collide_object")
$Debris Velocity:      5
$RFE Level1:           "Consoles"

$Class Name:           "Console_Large01_Corpse"
$V3D Filename:         "Console_Large01_Corpse.V3D"
$Material:             "metal"
$Life:                 -1
$Flags:                ("collide_object")
$RFE Level1:           "Consoles"

$Class Name:           "Console_Small01"
$V3D Filename:         "Console_Small01.v3d"
$Debris Filename:      "genericlight01_debris.V3D"
$Debris Sound Set:     "large debris bounce"
$Corpse Class Name:    "Console_Small01_Corpse"
$Material:             "metal"
$Life:                 200
$Explode Anim:         "objectboom"
$Explode Anim Radius:  1.0
$Glare:					  "RedMini01_NoVolume"
$Flags:                ("collide_object")
$Debris Velocity:      1.9
$RFE Level1:           "Consoles"

$Class Name:           "Console_Small01_Corpse"
$V3D Filename:         "Console_Small01_Corpse.v3d"
$Material:             "metal"
$Life:                 -1
$Flags:                ("collide_object")
$RFE Level1:           "Consoles"

$Class Name:           "ControlPanel01"
$V3D Filename:         "ControlPanel01.v3d"
$Debris Filename:      "genericlight01_debris.V3D"
$Debris Sound Set:     "large debris bounce"
$Corpse Class Name:    "ControlPanel01_Corpse"
$Material:             "metal"
$Life:                 210
$Explode Anim:         "objectboom"
$Explode Anim Radius:  2
$Glare:			  "RedMini01_NoVolume"
$Flags:             ("collide_object")
$Debris Velocity:   2
$RFE Level1:           "Consoles"

$Class Name:           "ControlPanel01_Corpse"
$V3D Filename:         "ControlPanel01_Corpse.V3D"
$Material:             "metal"
$Life:                 -1
$Flags:                ("collide_object")
$RFE Level1:           "Consoles"


$Class Name:           "Console_Thin01"
$V3D Filename:         "Console_Thin01.v3d"
$Debris Filename:			"genericlight01_debris.V3D"
$Debris Sound Set:		"large debris bounce"
$Corpse Class Name:    "Console_Thin01_corpse"
$Material:             "metal"
$Life:                 200
$Explode Anim:         "objectboom"
$Explode Anim Radius:  2.0
$Flags:                ("collide_object")
$Debris Velocity:	  	  6
$RFE Level1:           "Consoles"

$Class Name:           "Console_Thin01_corpse"
$V3D Filename:         "Console_Thin01_dbris.v3d"
$Material:             "metal"
$Life:                 -1
$Flags:                ("collide_object")
$RFE Level1:           "Consoles"

// ------------------------------------------------
// Keys
// ------------------------------------------------

$Class Name:           "keycard_demoK000"
$V3D Filename:         "keycard_demoK000.VFX"
$Material:             "metal"
$Life:                 -1
$Flags:                ("is_switch")
$RFE Level1:           "Keys"

//Goober note: moved Disk to this section where it belongs. Was up in the computers section before.
$Class Name:           "Disk"
$V3D Filename:         "Disk.v3d"
$Material:             "metal"
$Life:                 -1
$Flags:                ("can_carry")
$RFE Level1:           "Keys"

//Goober note: commented keycard out. Crashes editor consistently when placing.
/*
$Class Name:           "keycard"
$V3D Filename:         "keycard.v3d"
$Material:             "metal"
$Life:                 -1
$Flags:                ("can_carry" "is_switch")
$RFE Level1:           "Keys"
*/

// ------------------------------------------------
// Machinery
// ------------------------------------------------

$Class Name:           "vending_machine"
$V3D Filename:         "vending_machine01.V3D"
$Debris Filename:      "genericlight01_debris.V3D"
$Debris Sound Set:     "small debris bounce"
$Corpse Class Name:    "vending_corpse"
$Material:             "metal"
$Life:                 250
$Explode Anim:         "objectboom"
$Explode Anim Radius:  1.5
$Flags:                ("collide_object")
$Debris Velocity:      3.5
$RFE Level1:           "Machinery"

$Class Name:           "vending_corpse"
$V3D Filename:         "vending_machine_corpse.V3d"
$Material:             "metal"
$Life:                 -1
$Flags:                ("collide_object")
$RFE Level1:           "Machinery"

$Class Name:           "liquid_canister"
$V3D Filename:         "liquid_canister.V3d"
$Debris Filename:      "genericlight01_debris.V3D"
$Debris Sound Set:     "small debris bounce"
$Corpse Class Name:    "can_corpse"
$Material:             "metal"
$Life:                 250
$Explode Anim:         "objectboom"
$Explode Anim Radius:  2.0
$Flags:                ("collide_object")
$Debris Velocity:      3.5
$RFE Level1:           "Machinery"

$Class Name:           "can_corpse"
$V3D Filename:         "can_corpse.V3d"
$Material:             "metal"
$Life:                 -1
$Flags:                ("collide_object")
$RFE Level1:           "Machinery"

$Class Name:           "Valve Wheel"
$V3D Filename:         "valve.v3d"
$Material:             "metal"
$Life:                 -1
$Flags:                ("is_switch")
$RFE Level1:           "Machinery"

$Class Name:           "AirCompressor01"
$V3D Filename:         "AirCompressor01.v3d"
$Debris Filename:      "genericlight01_debris.V3D"
$Debris Sound Set:		"large debris bounce"
$Corpse Class Name:    "AirCompressor01 Corpse"
$Material:             "metal"
$Life:                 300
$Explode Anim:         "objectboom"
$Explode Anim Radius:  1.2
$Flags:                ("collide_object")
$Debris Velocity:      4
$RFE Level1:           "Machinery"

$Class Name:           "AirCompressor01 Corpse"
$V3D Filename:         "AirCompressor01_dam.v3d"
$Material:             "metal"
$Life:                 -1
$Flags:                ("collide_object")
$RFE Level1:           "Machinery"

$Class Name:           "Com_BKgenerator01"
$V3D Filename:         "Com_BKgenerator01.V3D"
$Corpse Class Name:    "Com_BKgenerator01_corpse"
$Material:             "metal"
$Life:                 90
$Explode Anim:         "objectboom"
$Explode Anim Radius:  2.0
$Glare:					  "RedMini01_NoVolume"
$Flags:                ("collide_object")
$RFE Level1:           "Machinery"

$Class Name:           "Com_BKgenerator01_Corpse"
$V3D Filename:         "Com_BKgenerator01_Corpse.V3D"
$Material:             "metal"
$Life:                 -1
$Flags:                ("collide_object")
$RFE Level1:           "Machinery"

$Class Name:           "Generator_Small01"
$V3D Filename:         "Generator_Small01.v3d"
$Corpse Class Name:    "Generator_Small01_Corpse"
$Material:             "metal"
$Life:                 350
$Explode Anim:         "objectboom"
$Explode Anim Radius:  2.0
$Glare:					  "RedMini01_NoVolume"
$Flags:                ("collide_object")
$RFE Level1:           "Machinery"

$Class Name:           "Generator_Small02"
$V3D Filename:         "Generator_Small02.v3d"
$Corpse Class Name:    "Generator_Small02_Corpse"
$Material:             "metal"
$Life:                 90
$Explode Anim:         "objectboom"
$Explode Anim Radius:  2.0
$Glare:					  "RedMini01_NoVolume"
$Flags:                ("collide_object")
$RFE Level1:           "Machinery"

$Class Name:           "Generator_Small01_Corpse"
$V3D Filename:         "Generator_Small01_Corpse.V3D"
$Material:             "metal"
$Life:                 -1
$Flags:                ("collide_object")
$RFE Level1:           "Machinery"

$Class Name:           "Turbine01"
$V3D Filename:         "Turbine01.V3d"
$Corpse Class Name:    "Turbine01_Corpse"
$Material:             "metal"
$Life:                 600
$Explode Anim:         "objectboom"
$Explode Anim Radius:  2.0
$Glare:					  "RedMini01_NoVolume"
$Flags:                ("collide_object")
$RFE Level1:           "Machinery"

$Class Name:           "Turbine01_Corpse"
$V3D Filename:         "Turbine01_Corpse.V3D"
$Material:             "metal"
$Life:                 -1
$Flags:                ("collide_object")
$RFE Level1:           "Machinery"

$Class Name:           "Pump01"
$V3D Filename:         "Pump01.v3d"
$Debris Filename:      "genericlight01_debris.V3D"
$Debris Sound Set:     "large debris bounce"
$Corpse Class Name:    "Pump01_corpse"
$Material:             "metal"
$Life:                 400
$Damage Type Factor:   "explosive"    3.0
$Explode Anim:         "objectboom"
$Explode Anim Radius:  2.0
$Glare:					  "RedMini01_NoVolume"
$Flags:                ("collide_object")
$RFE Level1:           "Machinery"

$Class Name:           "Pump01_corpse"
$V3D Filename:         "Pump01_dbris.v3d"
$Material:             "metal"
$Life:                 -1
$Flags:                ("collide_object")
$RFE Level1:           "Machinery"

$Class Name:           "Pump02"
$V3D Filename:         "Pump02.v3d"
$Debris Filename:      "genericlight01_debris.V3D"
$Debris Sound Set:     "large debris bounce"
$Corpse Class Name:    "Pump02_corpse"
$Material:             "metal"
$Life:                 450
$Explode Anim:         "objectboom"
$Explode Anim Radius:  2.0
$Glare:					  "RedMini01_NoVolume"
$Flags:                ("collide_object")
$Debris Velocity:      2.5
$RFE Level1:           "Machinery"

$Class Name:           "Pump02_corpse"
$V3D Filename:         "Pump02_dbris.v3d"
$Material:             "metal"
$Life:                 -1
$Flags:                ("collide_object")
$RFE Level1:           "Machinery"

$Class Name:           "LavaTester01"
$V3D Filename:         "LavaTester01.v3d"
$Corpse Class Name:    "LavaTester01_corpse"
$Material:             "metal"
$Life:                 600
$Explode Anim:         "objectboom"
$Explode Anim Radius:  2.0
$Glare:					  "RedMini01_NoVolume"
$Flags:                ("collide_object")
$RFE Level1:           "Machinery"

$Class Name:           "LavaTester01_corpse"
$V3D Filename:         "LavaTester01_dbris.v3d"
$Material:             "metal"
$Life:                 -1
$Flags:                ("collide_object")
$RFE Level1:           "Machinery"


// ------------------------------------------------
// Misc
// ------------------------------------------------


$Class Name:           "cablesdang2"
$V3D Filename:         "cables_dangling02.V3D"
$Material:             "solid"
$Life:                 19
$Flags:                ()
$RFE Level1:	       "misc"

$Class Name:           "cablesdang3"
$V3D Filename:         "cables_dangling03.V3D"
$Material:             "solid"
$Life:                 19
$Flags:                ()
$RFE Level1:	       "misc"

$Class Name:           "gas_can"
$V3D Filename:         "gas_can.V3D"
$Material:             "metal"
$Life:                 19
$Explode Anim:         "oil drum explode"
$Explode Anim Radius:  3.0
$Flags:                ("collide_object")
$RFE Level1:	       "misc"

$Class Name:           "phone"
$V3D Filename:         "phone.V3D"
$Debris Filename:		  "genericlight01_debris.V3D"
$Debris Sound Set:	  "large debris bounce"
$Material:             "metal"
$Life:                 100
$Explode Anim:         "yellboom_metal"
$Explode Anim Radius:  .7
$Flags:                ("collide_object")
$Debris Velocity:      2
$RFE Level1:           "Misc"

$Class Name:           "nuke"
$V3D Filename:         "nuke.V3D"
$Debris Filename:      ""
$Material:             "metal"
$Life:                 -1
$Flags:                ("collide_object")
$RFE Level1:           "Misc"

$Class Name:           "pot1"
$V3D Filename:         "pot1.V3D"
$Debris Filename:      ""
$Material:             "metal"
$Life:                 30
$Flags:                ("collide_object")
$RFE Level1:           "Misc"

$Class Name:           "pingpong"
$V3D Filename:         "pingpongtbl.V3D"
$Corpse Class Name:    "pingpongcorpse"
$Material:             "wood"
$Life:                  300
$Damage Type Factor:   "bash"                      0.0
$Damage Type Factor:   "bullet"					   0.0	
$Damage Type Factor:   "fire"                      0.0
$Flags:                ("collide_object")
$RFE Level1:           "Misc"

$Class Name:           "pingpongcorpse"
$V3D Filename:         "pingpongtbl_corpse.V3D"
$Material:             "wood"
$Life:                 -1
$Flags:                ("collide_object")
$RFE Level1:           "Misc"

$Class Name:           "pooltable"
$V3D Filename:         "pooltable.V3D"
$Corpse Class Name:    "pooltblcorpse"
$Material:             "metal"
$Life:                  -1
$Damage Type Factor:   "bash"                      0.0
$Damage Type Factor:   "bullet"					   0.0	
$Damage Type Factor:   "fire"                      0.0
$Flags:                ("collide_object")
$RFE Level1:           "Misc"

$Class Name:           "pooltblcorpse"
$V3D Filename:         "pooltable_corpse.V3D"
$Material:             "metal"
$Life:                 -1
$Flags:                ("collide_object")
$RFE Level1:           "Misc"

$Class Name:           "coffeemaker"
$V3D Filename:         "coffeemaker.V3D"
$Debris Filename:      "coffeemaker_debris.V3D"
$Debris Sound Set:     "small debris bounce"
$Material:             "metal"
$Life:                 120
$Use Sound:            "Use Coffee Maker"
$Explode Anim:         "yellboom"
$Explode Anim Radius:  .4
$Flags:                ("collide_object")
$Use:                  "play_sound"
	+radius:            2.0
$Debris Velocity:      2
$RFE Level1:           "Misc"

$Class Name:           "beerbottle01"
$V3D Filename:         "beerbottle01.V3D"
$Debris Filename:      "beerbottle01_debris.v3d"
$Debris Sound Set:     "glass break"
$Material:             "glass"
$Life:                 10
$Explode Anim:         "beerbottleboom"
$Flags:                ("collide_object")
$Debris Velocity:      2.0
$RFE Level1:           "Misc"

$Class Name:           "Soda Can1"
$V3D Filename:         "sodacan1.V3D"
$Debris Filename:      "beerbottle01_debris.v3d"
$Debris Sound Set:     "glass break"
$Material:             "metal"
$Life:                 10
$Explode Anim:         "beerbottleboom"
$Flags:                ("collide_object")
$Debris Velocity:      2.0
$RFE Level1:           "Misc"

$Class Name:           "Soda Can2"
$V3D Filename:         "sodacan2.V3D"
$Debris Filename:      "beerbottle01_debris.v3d"
$Debris Sound Set:     "glass break"
$Material:             "glass"
$Life:                 10
$Explode Anim:         "beerbottleboom"
$Flags:                ("collide_object")
$Debris Velocity:      2.0
$RFE Level1:           "Misc"

$Class Name:           "bottle1"
$V3D Filename:         "bottle1.V3D"
$Debris Filename:      "beerbottle01_debris.v3d"
$Debris Sound Set:     "glass break"
$Material:             "glass"
$Life:                 10
